word|phrase
anybody|Anybody would agree
arrange|Arrange the books
body|Body of the car
change|Change is good
college|I want to go to college after highschool
danger|Danger is near
either|Either way is fine
especially|You are especially special
everybody|Everybody is here
excellent|Your determination is excellent
false|That is false
guess|Guess what happened next
guest|Be our guest
half|Half of the pie
knowledge|Knowledge is power
length|The length of the string
national|National anthem
necessary|Is that necessary?
neither|Neither of them did it
nobody|Nobody was there
orange|The orange is orange
ourselves|We did it ourselves
physical|Physical strength
police|The police are coming
probably|I will probably eat that
question|I have a question
range|The range of the car
science|Science is my favorite subject
scientific|Scientific method
scientist|Think about it like a scientist
somebody|Somebody might want it
special|You are special
strange|That is strange
stranger|A stranger is here
strength|The strength of an ox
suggestion|May I make a suggestion?
themselves|They did it themselves
usual|This is usual weather for this time of year
usually|I usually go to bed at 9
watch|Watch the movie
whole|The whole pie
whom|Whom did you see?
whose|Whose car is that?
won't|I won't say no
