word|phrase
again|I will try again
against|I am against the eating of celery
altogether|Altogether, it was a good day
around|I am looking around the kitchen for a snack
because|Because I said so
book|I read a book
cause|What is the cause of this?
done|Done and dusted
ever|Have you ever been to Paris?
food|The food is delicious
found|I found a penny
goes|There goes my ride
going|We are all going to the party
good|I am good
however|However, I am not sure
important|It is important to be kind
look|Look at that
move|I like to move it
moved|Who moved my cheese?
never|Never say never
none|We will have none of that
nothing|Nothing is impossible
once|Once upon a time
part|I am a part of this now
paste|Copy and paste
place|I've been searching my whole life to find my own place
please|May I please have some more?
pleased|I am pleased to meet you
pleases|If it pleases the king
remove|Please remove your shoes
removed|I removed my shoes and socks
sound|The sound quality of the word pronounciation in this app, needs improving
sure|Are you sure?
taste|Can I taste that chocolate?
together|We are all in this together
took|I took the bus
use|Use the force Luke
used|I used a jetpack
uses|She uses a hairbrush
using|I am using a spelling app
waste|Don't waste your time
whenever|Whenever you are ready
wherever|Wherever you go, there you are
year|It is a new year
